Year	8/23	w.gi	987.6468	rep08i	691682	carlo bramerdo	472.950dopo	+2—4	53.26.04	koaeldon
1948	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1949	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1950	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1951	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1952	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1953	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1954	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1955	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1956	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1957	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1958	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1959	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1960	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1961	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1962	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1963	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1964	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1965	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1966	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1967	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1968	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1969	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1970	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1971	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1972	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1973	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1974	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1975	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1976	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.900230	0.000000
1978	0.000000	0.548437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1979	0.000000	0.540115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1980	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1981	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1982	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1983	0.000000	0.324053	0.497338	0.500132	0.000000	0.000000	0.480809	0.000000	0.000000	0.000000
1984	0.908711	0.906569	0.906324	0.905283	0.904852	0.904746	0.900795	0.900743	0.000000	0.899948
1985	0.000000	0.520299	0.509664	0.000000	0.412857	0.000000	0.000000	0.000000	0.000000	0.000000
1986	0.000000	0.320842	0.299168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1987	0.000000	-0.142614	-0.103570	-0.046068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1988	0.000000	0.152814	0.161655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1989	0.000000	0.202943	0.321290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1990	0.000000	0.000000	0.303831	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1991	0.000000	0.000000	0.106691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1992	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1995	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1999	0.000000	0.000000	0.225541	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2004	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
2005	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
